Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
0,300.4,309.7,1679,30.1,136,4093.6,5292.316512261854,9.300000000000011
0,299.0,308.7,2248,16.8,204,3427.2000000000003,3954.888159751119,9.699999999999989
1,298.6,309.6,1525,42.4,2,84.8,6771.179366037201,11.0
0,300.2,310.1,1392,47.9,201,9627.9,6982.3781681625305,9.900000000000034
1,300.2,311.6,1751,28.0,162,4536.0,5134.200154006679,11.400000000000034
0,297.9,307.8,1538,38.5,123,4735.5,6200.770859900414,9.900000000000034
0,297.9,309.9,1542,33.8,33,1115.4,5457.951748934619,12.0
2,304.1,313.3,1397,49.6,34,1686.4,7256.157495947368,9.199999999999989
1,301.0,309.7,1288,58.4,162,9460.8,7876.936204296712,8.699999999999989
0,301.6,310.0,1869,22.9,18,412.2,4482.0159910969505,8.399999999999977
1,300.8,310.7,1483,40.8,28,1142.4,6336.215391172182,9.899999999999975
1,304.0,313.2,1437,53.9,7,377.3,8110.995328964664,9.199999999999989
0,300.8,311.7,1490,46.4,217,10068.8,7239.904989952798,10.899999999999975
2,302.3,310.6,1525,48.7,114,5551.8,7777.274413349332,8.300000000000011
1,298.1,308.9,1459,50.3,115,5784.5,7685.141972795055,10.799999999999956
0,300.5,309.7,1589,30.5,198,6039.0,5075.190571996751,9.199999999999989
0,297.4,308.2,1419,50.0,52,2600.0,7429.866625739861,10.800000000000011
0,298.9,310.0,1452,48.9,185,9046.5,7435.395828810179,11.100000000000025
1,298.7,309.7,1629,27.9,136,3794.4,4759.418622408929,11.0
0,300.2,310.0,1486,40.1,182,7298.2,6240.103599923358,9.800000000000011
1,300.1,310.4,1556,38.1,92,3505.2000000000003,6208.164074611863,10.299999999999956
0,298.3,309.0,1471,48.3,91,4395.3,7440.265297423243,10.699999999999989
1,300.6,309.5,1557,33.8,84,2839.2,5511.044664780286,8.899999999999977
0,299.8,309.7,1429,42.6,127,5410.2,6374.856980811337,9.899999999999975
1,296.2,307.0,1516,37.6,25,940.0,5969.1935934287985,10.800000000000011
0,299.7,311.1,1439,44.9,174,7812.599999999999,6766.05857001185,11.400000000000034
0,302.4,310.4,1865,23.9,129,3083.1,4667.726004826155,8.0
